Test-ID|Average|Prototype|5.0%|95.0%|E
1|1.14e-03|1.14e-03|7.24e-04|1.70e-03|0.0778
2|3.87e-04|3.87e-04|2.42e-04|5.79e-04|0.0019
3|9.87e-05|9.87e-05|5.99e-05|1.57e-04|0.0000
4|2.94e-05|2.94e-05|1.62e-05|4.92e-05|0.0000
5|1.50e-03|1.50e-03|8.80e-04|2.38e-03|0.0510
6|7.32e-04|7.32e-04|4.38e-04|1.22e-03|0.0002
7|2.38e-04|2.38e-04|1.35e-04|3.95e-04|0.0000
8|7.89e-05|7.89e-05|4.11e-05|1.46e-04|0.0000
9|1.87e-05|1.87e-05|9.00e-06|3.38e-05|0.0000
10|1.34e-03|1.34e-03|7.23e-04|2.36e-03|0.0000
11|4.76e-04|4.76e-04|2.51e-04|8.68e-04|0.0000
12|1.54e-04|1.54e-04|7.82e-05|3.07e-04|0.0000
13|3.96e-05|3.96e-05|1.70e-05|8.23e-05|0.0000
14|2.01e-05|2.01e-05|7.19e-06|4.94e-05|0.0000
15|5.93e-04|5.93e-04|3.04e-04|1.13e-03|0.0000
16|2.24e-04|2.24e-04|1.10e-04|4.58e-04|0.0000
17|7.31e-05|7.31e-05|3.14e-05|1.53e-04|0.0000
18|2.67e-05|2.67e-05|9.88e-06|6.42e-05|0.0000
19|8.18e-04|8.18e-04|4.01e-04|1.51e-03|0.0000
20|3.63e-04|3.63e-04|1.72e-04|8.02e-04|0.0000
21|1.34e-04|1.34e-04|5.74e-05|3.13e-04|0.0000
22|4.66e-05|4.66e-05|1.73e-05|1.13e-04|0.0000
23|1.30e-03|1.30e-03|5.91e-04|2.86e-03|0.0000
24|6.36e-04|6.36e-04|2.68e-04|1.49e-03|0.0000
25|2.83e-04|2.83e-04|1.10e-04|7.28e-04|0.0000
26|1.01e-04|1.01e-04|3.46e-05|2.64e-04|0.0001
27|1.14e-03|1.14e-03|7.24e-04|1.70e-03|0.0778
28|3.87e-04|3.87e-04|2.42e-04|5.79e-04|0.0019
29|9.87e-05|9.87e-05|5.99e-05|1.57e-04|0.0000
30|2.94e-05|2.94e-05|1.62e-05|4.92e-05|0.0000
31|1.50e-03|1.50e-03|8.80e-04|2.38e-03|0.0510
32|7.32e-04|7.32e-04|4.38e-04|1.22e-03|0.0002
33|2.38e-04|2.38e-04|1.35e-04|3.95e-04|0.0000
34|7.89e-05|7.89e-05|4.11e-05|1.46e-04|0.0000
35|1.87e-05|1.87e-05|9.00e-06|3.38e-05|0.0000
36|1.34e-03|1.34e-03|7.23e-04|2.36e-03|0.0000
37|4.76e-04|4.76e-04|2.51e-04|8.68e-04|0.0000
38|1.54e-04|1.54e-04|7.82e-05|3.07e-04|0.0000
39|3.96e-05|3.96e-05|1.70e-05|8.23e-05|0.0000
40|2.01e-05|2.01e-05|7.19e-06|4.94e-05|0.0000
41|5.93e-04|5.93e-04|3.04e-04|1.13e-03|0.0000
42|2.24e-04|2.24e-04|1.10e-04|4.58e-04|0.0000
43|7.31e-05|7.31e-05|3.14e-05|1.53e-04|0.0000
44|2.67e-05|2.67e-05|9.88e-06|6.42e-05|0.0000
45|8.18e-04|8.18e-04|4.01e-04|1.51e-03|0.0000
46|3.63e-04|3.63e-04|1.72e-04|8.02e-04|0.0000
47|1.34e-04|1.34e-04|5.74e-05|3.13e-04|0.0000
48|4.66e-05|4.66e-05|1.73e-05|1.13e-04|0.0000
49|1.30e-03|1.30e-03|5.91e-04|2.86e-03|0.0000
50|6.36e-04|6.36e-04|2.68e-04|1.49e-03|0.0000
51|2.83e-04|2.83e-04|1.10e-04|7.28e-04|0.0000
52|1.01e-04|1.01e-04|3.46e-05|2.64e-04|0.0001
53|1.35e-03|1.35e-03|8.45e-04|2.03e-03|0.1000
54|4.74e-04|4.74e-04|2.95e-04|7.16e-04|0.0067
55|1.25e-04|1.25e-04|7.62e-05|1.96e-04|0.0000
56|3.71e-05|3.71e-05|2.11e-05|6.24e-05|0.0000
57|1.74e-03|1.74e-03|9.96e-04|2.76e-03|0.0677
58|8.62e-04|8.62e-04|5.12e-04|1.42e-03|0.0011
59|2.88e-04|2.88e-04|1.60e-04|4.78e-04|0.0000
60|9.67e-05|9.67e-05|5.10e-05|1.80e-04|0.0000
61|2.27e-05|2.27e-05|1.13e-05|4.15e-05|0.0000
62|1.53e-03|1.53e-03|7.93e-04|2.69e-03|0.0000
63|5.58e-04|5.58e-04|2.94e-04|1.02e-03|0.0000
64|1.85e-04|1.85e-04|9.44e-05|3.67e-04|0.0000
65|4.76e-05|4.76e-05|2.07e-05|9.96e-05|0.0000
66|2.35e-05|2.35e-05|8.67e-06|5.66e-05|0.0000
67|6.88e-04|6.88e-04|3.57e-04|1.29e-03|0.0000
68|2.65e-04|2.65e-04|1.34e-04|5.36e-04|0.0000
69|8.69e-05|8.69e-05|3.85e-05|1.84e-04|0.0000
70|3.13e-05|3.13e-05|1.16e-05|7.05e-05|0.0000
71|9.35e-04|9.35e-04|4.56e-04|1.72e-03|0.0000
72|4.21e-04|4.21e-04|1.98e-04|9.20e-04|0.0000
73|1.57e-04|1.57e-04|6.66e-05|3.71e-04|0.0000
74|5.43e-05|5.43e-05|2.02e-05|1.27e-04|0.0000
75|1.46e-03|1.46e-03|6.59e-04|3.13e-03|0.0000
76|7.23e-04|7.23e-04|3.08e-04|1.73e-03|0.0000
77|3.25e-04|3.25e-04|1.26e-04|8.41e-04|0.0000
78|1.16e-04|1.16e-04|4.10e-05|3.11e-04|0.0001
79|2.72e-03|2.72e-03|1.49e-03|4.58e-03|0.2448
80|1.11e-03|1.11e-03|6.87e-04|1.69e-03|0.0691
81|3.50e-04|3.50e-04|2.11e-04|5.35e-04|0.0009
82|1.09e-04|1.09e-04|6.36e-05|1.85e-04|0.0000
83|3.25e-03|3.25e-03|1.77e-03|5.87e-03|0.1895
84|1.73e-03|1.73e-03|9.61e-04|2.96e-03|0.0348
85|6.55e-04|6.55e-04|3.60e-04|1.10e-03|0.0000
86|2.41e-04|2.41e-04|1.35e-04|4.39e-04|0.0000
87|5.81e-05|5.81e-05|2.94e-05|1.09e-04|0.0000
88|2.67e-03|2.67e-03|1.29e-03|4.95e-03|0.0251
89|1.10e-03|1.10e-03|5.85e-04|1.99e-03|0.0000
90|4.09e-04|4.09e-04|2.11e-04|8.14e-04|0.0000
91|1.13e-04|1.13e-04|5.49e-05|2.46e-04|0.0000
92|5.06e-05|5.06e-05|1.94e-05|1.18e-04|0.0000
93|1.31e-03|1.31e-03|6.56e-04|2.45e-03|0.0000
94|5.49e-04|5.49e-04|2.72e-04|1.07e-03|0.0000
95|1.92e-04|1.92e-04|8.77e-05|4.25e-04|0.0000
96|6.69e-05|6.69e-05|2.66e-05|1.51e-04|0.0000
97|1.67e-03|1.67e-03|7.95e-04|3.18e-03|0.0009
98|8.05e-04|8.05e-04|3.64e-04|1.66e-03|0.0000
99|3.21e-04|3.21e-04|1.38e-04|7.49e-04|0.0000
100|1.12e-04|1.12e-04|4.45e-05|2.76e-04|0.0000
101|2.40e-03|2.40e-03|1.03e-03|5.30e-03|0.0089
102|1.26e-03|1.26e-03|5.22e-04|2.92e-03|0.0000
103|5.99e-04|5.99e-04|2.41e-04|1.49e-03|0.0000
104|2.24e-04|2.24e-04|8.10e-05|6.20e-04|0.0000
105|5.12e-04|5.12e-04|3.27e-04|7.60e-04|0.0124
106|1.49e-04|1.49e-04|9.27e-05|2.34e-04|0.0000
107|3.39e-05|3.39e-05|1.97e-05|5.58e-05|0.0000
108|1.10e-05|1.10e-05|5.93e-06|1.91e-05|0.0000
109|7.36e-04|7.36e-04|4.45e-04|1.13e-03|0.0051
110|3.38e-04|3.38e-04|1.98e-04|5.67e-04|0.0000
111|9.95e-05|9.95e-05|5.50e-05|1.68e-04|0.0000
112|3.24e-05|3.24e-05|1.66e-05|5.74e-05|0.0000
113|8.48e-06|8.48e-06|3.85e-06|1.73e-05|0.0000
114|7.30e-04|7.30e-04|3.79e-04|1.26e-03|0.0000
115|2.29e-04|2.29e-04|1.21e-04|4.27e-04|0.0000
116|6.90e-05|6.90e-05|3.29e-05|1.34e-04|0.0000
117|1.83e-05|1.83e-05|7.84e-06|3.88e-05|0.0000
118|1.08e-05|1.08e-05|3.42e-06|3.03e-05|0.0000
119|2.95e-04|2.95e-04|1.54e-04|5.74e-04|0.0000
120|1.06e-04|1.06e-04|5.09e-05|2.16e-04|0.0000
121|3.47e-05|3.47e-05|1.41e-05|7.43e-05|0.0000
122|1.41e-05|1.41e-05|4.81e-06|3.71e-05|0.0000
123|4.40e-04|4.40e-04|2.17e-04|8.62e-04|0.0000
124|1.85e-04|1.85e-04|8.24e-05|4.13e-04|0.0000
125|6.69e-05|6.69e-05|2.62e-05|1.47e-04|0.0000
126|2.46e-05|2.46e-05|7.96e-06|6.52e-05|0.0001
127|7.64e-04|7.64e-04|3.52e-04|1.71e-03|0.0000
128|3.53e-04|3.53e-04|1.50e-04|8.57e-04|0.0000
129|1.53e-04|1.53e-04|5.83e-05|3.80e-04|0.0000
130|5.44e-05|5.44e-05|1.87e-05|1.47e-04|0.0003

