Test-ID|Average|Prototype|5.0%|95.0%|E
1|1.22e-03|1.22e-03|7.87e-04|1.97e-03|5.5236
2|4.30e-04|4.30e-04|2.72e-04|6.98e-04|5.6796
3|1.16e-04|1.16e-04|6.76e-05|1.96e-04|6.1066
4|3.07e-05|3.07e-05|1.65e-05|5.50e-05|5.2120
5|1.56e-03|1.56e-03|1.05e-03|2.42e-03|4.1957
6|7.00e-04|7.00e-04|4.72e-04|1.08e-03|3.5852
7|2.95e-04|2.95e-04|1.86e-04|4.44e-04|2.9458
8|6.92e-05|6.92e-05|4.09e-05|1.17e-04|3.0128
9|1.49e-05|1.49e-05|7.84e-06|2.81e-05|2.9361
10|1.44e-03|1.44e-03|1.01e-03|2.04e-03|2.0924
11|4.58e-04|4.58e-04|3.04e-04|6.93e-04|2.1654
12|1.29e-04|1.29e-04|8.24e-05|2.03e-04|2.0814
13|2.48e-05|2.48e-05|1.31e-05|4.74e-05|2.1476
14|8.54e-06|8.54e-06|4.06e-06|1.82e-05|1.6176
15|5.28e-04|5.28e-04|3.53e-04|7.71e-04|2.0603
16|1.93e-04|1.93e-04|1.25e-04|2.89e-04|1.6878
17|5.11e-05|5.11e-05|2.88e-05|9.00e-05|1.4885
18|1.40e-05|1.40e-05|7.30e-06|2.72e-05|1.2549
19|8.07e-04|8.07e-04|5.66e-04|1.13e-03|1.5032
20|3.06e-04|3.06e-04|2.04e-04|4.42e-04|1.3024
21|9.50e-05|9.50e-05|5.84e-05|1.53e-04|1.0884
22|2.49e-05|2.49e-05|1.36e-05|4.52e-05|0.9448
23|1.13e-03|1.13e-03|7.95e-04|1.56e-03|1.2047
24|5.01e-04|5.01e-04|3.44e-04|7.25e-04|0.9739
25|1.94e-04|1.94e-04|1.21e-04|3.00e-04|0.7344
26|5.36e-05|5.36e-05|3.04e-05|9.61e-05|0.6262
27|1.22e-03|1.22e-03|7.87e-04|1.97e-03|5.5236
28|4.30e-04|4.30e-04|2.72e-04|6.98e-04|5.6796
29|1.16e-04|1.16e-04|6.76e-05|1.96e-04|6.1066
30|3.07e-05|3.07e-05|1.65e-05|5.50e-05|5.2120
31|1.56e-03|1.56e-03|1.05e-03|2.42e-03|4.1957
32|7.00e-04|7.00e-04|4.72e-04|1.08e-03|3.5852
33|2.95e-04|2.95e-04|1.86e-04|4.44e-04|2.9458
34|6.92e-05|6.92e-05|4.09e-05|1.17e-04|3.0128
35|1.49e-05|1.49e-05|7.84e-06|2.81e-05|2.9361
36|1.44e-03|1.44e-03|1.01e-03|2.04e-03|2.0924
37|4.58e-04|4.58e-04|3.04e-04|6.93e-04|2.1654
38|1.29e-04|1.29e-04|8.24e-05|2.03e-04|2.0814
39|2.48e-05|2.48e-05|1.31e-05|4.74e-05|2.1476
40|8.54e-06|8.54e-06|4.06e-06|1.82e-05|1.6176
41|5.28e-04|5.28e-04|3.53e-04|7.71e-04|2.0603
42|1.93e-04|1.93e-04|1.25e-04|2.89e-04|1.6878
43|5.11e-05|5.11e-05|2.88e-05|9.00e-05|1.4885
44|1.40e-05|1.40e-05|7.30e-06|2.72e-05|1.2549
45|8.07e-04|8.07e-04|5.66e-04|1.13e-03|1.5032
46|3.06e-04|3.06e-04|2.04e-04|4.42e-04|1.3024
47|9.50e-05|9.50e-05|5.84e-05|1.53e-04|1.0884
48|2.49e-05|2.49e-05|1.36e-05|4.52e-05|0.9448
49|1.13e-03|1.13e-03|7.95e-04|1.56e-03|1.2047
50|5.01e-04|5.01e-04|3.44e-04|7.25e-04|0.9739
51|1.94e-04|1.94e-04|1.21e-04|3.00e-04|0.7344
52|5.36e-05|5.36e-05|3.04e-05|9.61e-05|0.6262
53|1.40e-03|1.40e-03|8.99e-04|2.32e-03|5.6802
54|5.16e-04|5.16e-04|3.19e-04|8.45e-04|5.8369
55|1.44e-04|1.44e-04|8.62e-05|2.44e-04|6.2670
56|3.92e-05|3.92e-05|2.11e-05|7.03e-05|5.3440
57|1.78e-03|1.78e-03|1.17e-03|2.74e-03|4.3294
58|8.20e-04|8.20e-04|5.53e-04|1.29e-03|3.7069
59|3.53e-04|3.53e-04|2.28e-04|5.30e-04|3.0520
60|8.59e-05|8.59e-05|5.17e-05|1.42e-04|3.1117
61|1.87e-05|1.87e-05|1.00e-05|3.43e-05|3.0227
62|1.63e-03|1.63e-03|1.13e-03|2.32e-03|2.1771
63|5.37e-04|5.37e-04|3.56e-04|8.11e-04|2.2531
64|1.57e-04|1.57e-04|1.01e-04|2.45e-04|2.1638
65|3.08e-05|3.08e-05|1.61e-05|5.77e-05|2.2200
66|1.05e-05|1.05e-05|5.01e-06|2.18e-05|1.6645
67|6.16e-04|6.16e-04|4.18e-04|9.05e-04|2.1455
68|2.30e-04|2.30e-04|1.50e-04|3.43e-04|1.7612
69|6.24e-05|6.24e-05|3.57e-05|1.08e-04|1.5496
70|1.71e-05|1.71e-05|9.24e-06|3.29e-05|1.2975
71|9.23e-04|9.23e-04|6.45e-04|1.31e-03|1.5730
72|3.59e-04|3.59e-04|2.41e-04|5.09e-04|1.3660
73|1.14e-04|1.14e-04|7.20e-05|1.81e-04|1.1413
74|3.01e-05|3.01e-05|1.69e-05|5.37e-05|0.9834
75|1.27e-03|1.27e-03|8.91e-04|1.77e-03|1.2635
76|5.76e-04|5.76e-04|3.93e-04|8.37e-04|1.0281
77|2.27e-04|2.27e-04|1.45e-04|3.50e-04|0.7789
78|6.36e-05|6.36e-05|3.64e-05|1.11e-04|0.6600
79|2.52e-03|2.52e-03|1.49e-03|4.48e-03|6.4318
80|1.09e-03|1.09e-03|7.06e-04|1.80e-03|6.5952
81|3.72e-04|3.72e-04|2.29e-04|6.03e-04|7.0493
82|1.15e-04|1.15e-04|6.96e-05|1.94e-04|6.0153
83|3.08e-03|3.08e-03|1.85e-03|5.21e-03|4.9708
84|1.59e-03|1.59e-03|1.07e-03|2.43e-03|4.2970
85|7.63e-04|7.63e-04|5.07e-04|1.18e-03|3.5747
86|2.21e-04|2.21e-04|1.38e-04|3.48e-04|3.6096
87|5.31e-05|5.31e-05|2.99e-05|9.22e-05|3.4685
88|2.75e-03|2.75e-03|1.87e-03|4.07e-03|2.5793
89|1.06e-03|1.06e-03|7.24e-04|1.57e-03|2.6837
90|3.62e-04|3.62e-04|2.40e-04|5.61e-04|2.5777
91|8.25e-05|8.25e-05|4.95e-05|1.38e-04|2.5988
92|2.72e-05|2.72e-05|1.44e-05|5.12e-05|1.9301
93|1.19e-03|1.19e-03|8.20e-04|1.74e-03|2.5634
94|4.95e-04|4.95e-04|3.31e-04|7.31e-04|2.1289
95|1.51e-04|1.51e-04|9.62e-05|2.34e-04|1.8679
96|4.28e-05|4.28e-05|2.37e-05|7.63e-05|1.5370
97|1.64e-03|1.64e-03|1.13e-03|2.31e-03|1.9129
98|7.13e-04|7.13e-04|4.95e-04|9.99e-04|1.6843
99|2.51e-04|2.51e-04|1.66e-04|3.70e-04|1.4158
100|7.11e-05|7.11e-05|4.22e-05|1.19e-04|1.1985
101|2.13e-03|2.13e-03|1.50e-03|2.98e-03|1.5454
102|1.05e-03|1.05e-03|7.35e-04|1.45e-03|1.2971
103|4.50e-04|4.50e-04|3.00e-04|6.68e-04|1.0079
104|1.37e-04|1.37e-04|8.41e-05|2.25e-04|0.8458
105|6.09e-04|6.09e-04|3.74e-04|9.98e-04|4.8656
106|1.80e-04|1.80e-04|1.11e-04|2.95e-04|5.0220
107|4.10e-05|4.10e-05|2.17e-05|7.41e-05|5.4575
108|1.05e-05|1.05e-05|5.19e-06|2.20e-05|4.6955
109|8.24e-04|8.24e-04|5.50e-04|1.25e-03|3.6335
110|3.27e-04|3.27e-04|2.16e-04|5.25e-04|3.0801
111|1.27e-04|1.27e-04|7.95e-05|2.01e-04|2.5121
112|2.59e-05|2.59e-05|1.37e-05|4.63e-05|2.6177
113|5.65e-06|5.65e-06|2.55e-06|1.32e-05|2.6026
114|7.93e-04|7.93e-04|5.51e-04|1.13e-03|1.7397
115|2.15e-04|2.15e-04|1.40e-04|3.25e-04|1.8072
116|5.30e-05|5.30e-05|3.05e-05|9.27e-05|1.7543
117|9.65e-06|9.65e-06|4.50e-06|1.98e-05|1.8748
118|3.69e-06|3.69e-06|1.57e-06|8.79e-06|1.4606
119|2.54e-04|2.54e-04|1.66e-04|3.73e-04|1.7118
120|8.44e-05|8.44e-05|5.20e-05|1.39e-04|1.3957
121|2.12e-05|2.12e-05|1.18e-05|3.94e-05|1.2571
122|6.07e-06|6.07e-06|2.78e-06|1.33e-05|1.1112
123|4.26e-04|4.26e-04|2.89e-04|5.98e-04|1.2167
124|1.46e-04|1.46e-04|9.42e-05|2.22e-04|1.0480
125|4.22e-05|4.22e-05|2.45e-05|7.31e-05|0.8863
126|1.11e-05|1.11e-05|5.59e-06|2.23e-05|0.8126
127|6.38e-04|6.38e-04|4.42e-04|9.13e-04|0.9578
128|2.61e-04|2.61e-04|1.71e-04|3.93e-04|0.7561
129|9.53e-05|9.53e-05|5.56e-05|1.60e-04|0.5632
130|2.52e-05|2.52e-05|1.31e-05|4.72e-05|0.5082

