Structures "F": Vertical walls
;Rc/Hs|q/(gHs^3)^(1/2)
2.027777778|3.97E-05
1.659090909|1.85E-04
1.25862069|1.68E-03
1|1.86E-03
0.924050633|6.14E-03
2.162162162|0.00E+00
1.818181818|2.08E-05
1.333333333|8.19E-04
1.111111111|1.73E-03
0.987654321|3.39E-03
1.944444444|4.67E-06
1.627906977|9.31E-05
1.206896552|1.81E-03
1.014492754|2.49E-03
0.897435897|5.03E-03
2.162162162|0.00E+00
1.818181818|1.56E-05
1.31147541|1.13E-03
1.126760563|1.49E-03
1.012658228|3.62E-03
2.162162162|0.00E+00
1.777777778|4.35E-05
1.333333333|9.82E-04
1.111111111|1.95E-03
0.987654321|3.45E-03
2.432432432|0.00E+00
2.045454545|5.19E-06
1.525423729|4.04E-04
1.304347826|8.27E-04
1.168831169|1.77E-03
1.231060606|1.90E-03
1.354166667|8.69E-04
0.925925926|4.11E-03
0.925925926|2.56E-03
1.5625|4.39E-04
1.637554585|3.53E-04
0.806451613|5.86E-03
0.503597122|1.82E-02
1.064748201|5.74E-03
1.352517986|2.57E-03
1.618705036|1.49E-03
1.809859155|7.60E-04
0.682242991|1.98E-02
1.028037383|8.60E-03
1.392523364|4.32E-03
1.738317757|1.76E-03
2.113207547|8.79E-04
2.439252336|5.19E-04
0.739583333|9.23E-03
1.157894737|3.58E-03
0.898734177|1.18E-03
1.392405063|2.82E-04
0.474452555|2.28E-02
1.014388489|6.53E-03
1.646616541|1.88E-03
0.486111111|2.96E-02
0.734265734|1.99E-02
1.034965035|1.42E-02
1.333333333|7.64E-03
1.595744681|5.22E-03
1.822695035|3.40E-03
0.663551402|1.76E-02
0.865853659|7.14E-03
1.341463415|3.54E-03
0.849162011|4.99E-05
1.512605042|1.98E-03
1.182795699|4.47E-03
1.255707763|3.63E-03
2.213114754|0.00E+00
4.153846154|0.00E+00
7.857142857|0.00E+00
2.675675676|0.00E+00
3.178170144|0.00E+00
2.496847415|0.00E+00
0.775862069|4.87E-03
0.442260442|1.44E-02
0.360721443|2.40E-02
0.290791599|4.04E-02
0.221674877|4.37E-02
0.181634712|4.76E-02
7.053824363|0.00E+00
6.803278689|0.00E+00
7.196531792|0.00E+00
16.06299213|0.00E+00
8.607594937|0.00E+00
5.650969529|0.00E+00
4.299262381|0.00E+00
4.434782609|0.00E+00
13.64806867|0.00E+00
7.378190255|0.00E+00
5.740072202|0.00E+00
4.466292135|0.00E+00
3.3125|0.00E+00
2.731958763|0.00E+00
1.815181518|6.17E-04
1.30952381|7.86E-04
1.291079812|7.34E-04
0.793650794|1.93E-03
0.537634409|1.53E-02
0.320512821|3.77E-02
0.476190476|2.08E-02
0.24691358|4.48E-02
0.208333333|4.16E-02
8.25|0.00E+00
2.6435247|0.00E+00
2.551546392|0.00E+00
2.622516556|0.00E+00
4.481327801|0.00E+00
2.748091603|2.67E-04
1.506276151|1.46E-03
1.216216216|2.23E-03
1.172638436|2.40E-03
0.728744939|2.41E-03
0.474934037|1.46E-02
0.352941176|1.82E-02
0.293159609|3.55E-02
0.23255814|4.21E-02
0.181818182|4.04E-02
0.869565217|1.83E-03
0.480769231|1.18E-02
0.392156863|2.42E-02
0.319488818|3.24E-02
0.253807107|4.54E-02
0.196463654|3.77E-02
1.54494382|9.45E-04
1.219512195|1.61E-03
1.224944321|1.64E-03
1.069518717|6.18E-03
1.724137931|1.66E-03
5.607476636|0.00E+00
2.790697674|0.00E+00
2.169981917|0.00E+00
1.276595745|3.95E-03
8.076923077|0.00E+00
4.365904366|0.00E+00
2.868852459|0.00E+00
2.241195304|0.00E+00
2.272727273|0.00E+00
12.76595745|0.00E+00
4.207573633|0.00E+00
4.026845638|0.00E+00
4.261363636|0.00E+00
13.04347826|0.00E+00
3.726708075|0.00E+00
3.579952267|0.00E+00
3.685503686|0.00E+00
8.333333333|0.00E+00
4.150197628|0.00E+00
2.589395808|9.62E-05
2.046783626|1.94E-04
2.093718843|1.49E-04
4.724409449|0.00E+00
2.790697674|0.00E+00
1.583113456|1.10E-03
2.112676056|0.00E+00
1.225740552|3.19E-03
1.021276596|4.81E-03
0.737704918|7.79E-04
0.476190476|1.19E-02
0.36437247|2.15E-02
0.310344828|2.83E-02
0.233766234|3.35E-02
0.189873418|3.94E-02
4.821428571|0.00E+00
2.713567839|0.00E+00
1.8|3.94E-04
1.330049261|1.06E-03
1.291866029|1.23E-03
7.443609023|0.00E+00
2.538461538|0.00E+00
2.544987147|0.00E+00
2.598425197|0.00E+00
0.796460177|1.70E-03
0.505617978|1.66E-02
0.38961039|2.63E-02
0.332103321|3.62E-02
0.254957507|4.22E-02
0.204545455|3.99E-02
5.294117647|0.00E+00
2.950819672|0.00E+00
1.881533101|3.67E-04
1.417322835|1.23E-03
1.374045802|1.16E-03
9.082568807|0.00E+00
2.877906977|0.00E+00
2.8125|0.00E+00
2.877906977|0.00E+00
0.725806452|2.51E-03
0.478723404|1.64E-02
0.355731225|2.35E-02
0.304054054|3.38E-02
0.235602094|3.98E-02
0.188284519|4.04E-02
4.778761062|0.00E+00
2.571428571|5.35E-04
1.651376147|1.32E-03
1.247113164|1.90E-03
1.171366594|2.23E-03
8.319327731|0.00E+00
2.804532578|0.00E+00
2.661290323|0.00E+00
2.75|0.00E+00
5.776173285|0.00E+00
4.494382022|0.00E+00
3.333333333|0.00E+00
2.749140893|0.00E+00
1.069518717|6.18E-03
1.719197708|1.65E-03
1.419807187|2.70E-05
2.521008403|0.00E+00
1.428571429|0.00E+00
1.090909091|8.06E-05
0.88365243|4.96E-03
0.670391061|9.84E-03
0.552486188|1.46E-02
2.553191489|0.00E+00
1.411764706|0.00E+00
1.100917431|1.05E-04
0.887573964|3.26E-03
0.656455142|6.72E-03
0.539568345|8.79E-03
0.775862069|4.89E-03
0.442260442|1.44E-02
0.360721443|2.40E-02
0.290791599|4.04E-02
0.221674877|4.36E-02
0.181634712|4.76E-02
6.923076923|0.00E+00
3.707093822|0.00E+00
2.913669065|0.00E+00
2.310984308|0.00E+00
1.727078891|0.00E+00
5.607476636|0.00E+00
2.790697674|0.00E+00
2.169981917|0.00E+00
1.276595745|3.95E-03
8.076923077|0.00E+00
4.365904366|0.00E+00
2.868852459|0.00E+00
2.241195304|0.00E+00
2.272727273|0.00E+00
12.76595745|0.00E+00
4.207573633|0.00E+00
4.026845638|0.00E+00
4.261363636|0.00E+00
13.04347826|0.00E+00
3.726708075|0.00E+00
3.579952267|0.00E+00
3.685503686|0.00E+00
8.333333333|0.00E+00
4.150197628|0.00E+00
2.589395808|9.62E-05
2.046783626|1.94E-04
2.093718843|1.49E-04
4.724409449|0.00E+00
2.790697674|0.00E+00
1.583113456|1.10E-03
2.112676056|0.00E+00
1.225740552|3.19E-03
1.021276596|4.81E-03
6.532258065|0.00E+00
3.811764706|0.00E+00
2.913669065|0.00E+00
2.265734266|0.00E+00
1.63141994|0.00E+00
1.351125938|0.00E+00
2.521008403|0.00E+00
1.425178147|0.00E+00
1.098901099|1.04E-04
0.917431193|3.72E-03
0.685714286|9.36E-03
0.574162679|1.26E-02
0.782608696|1.83E-03
0.432692308|1.18E-02
0.352941176|2.42E-02
0.287539936|3.24E-02
0.228426396|4.54E-02
0.176817289|3.76E-02
4.122137405|0.00E+00
2.317596567|2.21E-04
1.516853933|9.46E-04
1.197339246|1.61E-03
1.202672606|1.64E-03
5.859375|0.00E+00
3.260869565|0.00E+00
2.130681818|0.00E+00
1.696832579|5.07E-05
1.685393258|2.78E-05
2.542372881|0.00E+00
1.382488479|0.00E+00
0.892857143|5.76E-03
0.715990453|1.10E-02
0.576923077|1.62E-02
2.43902439|0.00E+00
1.587301587|0.00E+00
0.840336134|8.57E-03
0.704225352|1.36E-02
0.595238095|1.49E-02
6.41025641|0.00E+00
3.378378378|0.00E+00
2.450980392|0.00E+00
1.811594203|0.00E+00
1.785714286|3.03E-05
4.615384615|0.00E+00
2.432432432|2.06E-04
1.782178218|6.17E-04
1.285714286|7.88E-04
1.267605634|7.35E-04
0.714285714|1.93E-03
0.483870968|1.53E-02
0.288461538|3.77E-02
0.428571429|2.08E-02
0.222222222|4.47E-02
0.1875|4.14E-02
0.891530461|5.31E-03
0.695249131|9.96E-03
0.564971751|1.39E-02
2.06043956|0.00E+00
1.602564103|0.00E+00
1.5|9.26E-06
2.654867257|0.00E+00
1.775147929|1.92E-04
1.171875|3.02E-03
1.321585903|3.23E-04
0.906344411|7.65E-03
0.712589074|1.16E-02
7.211538462|0.00E+00
3.768844221|0.00E+00
2.586206897|0.00E+00
2.016129032|1.83E-04
1.932989691|1.30E-04
2.912621359|0.00E+00
1.875|0.00E+00
1.171875|4.80E-03
1.621621622|2.92E-04
0.879765396|1.18E-02
0.714285714|1.98E-02
3.232758621|1.04E-04
2.19941349|4.25E-04
2.083333333|3.84E-04
0.796460177|6.12E-04
0.538922156|1.49E-02
2.727272727|0.00E+00
1.796407186|0.00E+00
1.321585903|3.53E-04
1.136363636|2.66E-03
0.890207715|7.90E-03
0.702576112|1.22E-02
7.575757576|0.00E+00
4.032258065|0.00E+00
2.788104089|2.35E-05
2.04359673|5.99E-05
1.984126984|9.28E-05
2.564102564|0.00E+00
1.657458564|0.00E+00
1.282051282|3.96E-04
1.123595506|3.08E-03
0.890207715|7.15E-03
0.692840647|9.86E-03
6.818181818|0.00E+00
3.55450237|0.00E+00
2.435064935|0.00E+00
1.879699248|5.91E-05
1.838235294|4.46E-05
2.34375|0.00E+00
1.578947368|1.80E-04
1.167315175|3.44E-04
1.020408163|2.21E-03
0.802139037|5.48E-03
0.622406639|8.67E-03
6.355932203|0.00E+00
3.440366972|0.00E+00
2.419354839|1.90E-05
1.842751843|1.28E-04
1.773049645|7.22E-05
2.362204724|0.00E+00
1.546391753|0.00E+00
1.123595506|2.89E-04
0.996677741|2.53E-03
0.777202073|5.79E-03
0.618556701|8.22E-03
6.355932203|0.00E+00
3.472222222|0.00E+00
2.34375|0.00E+00
1.794258373|7.35E-05
1.744186047|4.72E-05
0.737704918|7.79E-04
0.476190476|1.19E-02
0.36437247|2.15E-02
0.310344828|2.83E-02
0.233766234|3.35E-02
0.189873418|3.94E-02
4.821428571|0.00E+00
2.713567839|0.00E+00
1.8|3.94E-04
1.330049261|1.06E-03
1.291866029|1.23E-03
7.443609023|0.00E+00
2.538461538|0.00E+00
2.544987147|0.00E+00
2.598425197|0.00E+00
2.479338843|0.00E+00
1.546391753|0.00E+00
1.219512195|9.53E-05
1.006711409|3.27E-03
0.785340314|6.51E-03
0.621118012|1.14E-02
6.880733945|0.00E+00
3.846153846|0.00E+00
2.559726962|2.06E-05
1.87032419|1.76E-04
1.789976134|4.29E-05
0.796460177|1.70E-03
0.505617978|1.66E-02
0.38961039|2.63E-02
0.332103321|3.62E-02
0.254957507|4.22E-02
0.204545455|3.99E-02
5.294117647|0.00E+00
2.950819672|0.00E+00
1.881533101|3.67E-04
1.417322835|1.23E-03
1.374045802|1.16E-03
9.082568807|0.00E+00
2.877906977|0.00E+00
2.8125|0.00E+00
2.877906977|0.00E+00
7.118055556|0.00E+00
5.297157623|0.00E+00
5.16372796|0.00E+00
13.67521368|0.00E+00
8.556149733|0.00E+00
6.477732794|0.00E+00
5.079365079|0.00E+00
4.134366925|0.00E+00
3.347280335|0.00E+00
13.44537815|0.00E+00
8.421052632|0.00E+00
6.374501992|0.00E+00
5.079365079|0.00E+00
4.081632653|0.00E+00
3.2|0.00E+00
7.218309859|0.00E+00
5.283505155|0.00E+00
5.086848635|0.00E+00
0.737704918|8.19E-04
0.478723404|1.37E-02
0.37037037|2.06E-02
0.308219178|2.76E-02
0.24|3.71E-02
0.190274841|3.75E-02
4.695652174|0.00E+00
2.673267327|0.00E+00
1.719745223|4.24E-04
1.288782816|8.87E-04
1.25|1.05E-03
9|0.00E+00
2.765363128|0.00E+00
2.697547684|0.00E+00
2.757660167|0.00E+00
12.8|0.00E+00
8.510638298|0.00E+00
6.153846154|0.00E+00
5.031446541|0.00E+00
3.8647343|0.00E+00
3.143418468|0.00E+00
6.67752443|0.00E+00
4.90430622|0.00E+00
4.669703872|0.00E+00
3.15920398|0.00E+00
2.369402985|0.00E+00
2.015873016|0.00E+00
1.57960199|0.00E+00
1.223506744|0.00E+00
5.266990291|0.00E+00
3.569078947|0.00E+00
2.659313725|0.00E+00
2.56501182|0.00E+00
3.15920398|0.00E+00
2.343173432|0.00E+00
1.924242424|0.00E+00
1.497641509|0.00E+00
1.178107607|0.00E+00
5.39800995|0.00E+00
3.545751634|0.00E+00
2.601918465|0.00E+00
2.523255814|0.00E+00
3.097560976|0.00E+00
2.259786477|0.00E+00
1.845930233|0.00E+00
1.414253898|0.00E+00
1.144144144|0.00E+00
4.676724138|0.00E+00
3.082386364|0.00E+00
2.432735426|0.00E+00
2.251037344|0.00E+00
3.000000001|0.00E+00
2.4|2.37E-05
2.3125|2.37E-05
1.849999999|1.68E-04
1.5625|4.81E-04
1.25|1.98E-03
3.000000001|0.00E+00
2.4|0.00E+00
2.3125|3.15E-06
1.849999999|3.73E-05
1.5625|4.48E-04
1.25|1.45E-03
3.000000001|0.00E+00
2.4|0.00E+00
2.3125|0.00E+00
1.849999999|2.26E-06
1.5625|6.31E-06
1.25|2.73E-04
2.4|1.36E-05
2.4|1.24E-05
2.4|1.81E-05
1.849999999|1.78E-04
1.849999999|1.69E-04
1.849999999|1.38E-04
1.19047619|1.67E-03
1.19047619|1.64E-03
1.19047619|1.48E-03
2.4|2.82E-05
2.4|2.82E-05
2.4|2.82E-05
1.849999999|5.44E-05
1.849999999|8.12E-05
1.849999999|6.57E-05
1.19047619|1.14E-03
1.19047619|1.20E-03
1.19047619|1.19E-03
2.4|5.63E-06
2.4|5.63E-06
2.4|7.88E-06
1.849999999|1.11E-04
1.849999999|8.02E-05
1.849999999|7.23E-05
1.19047619|1.29E-03
1.19047619|1.22E-03
1.19047619|1.14E-03
1.54787234|9.91E-04
1.093984962|8.83E-03
1.035587188|1.16E-02
2.22162162|5.07E-06
1.562737642|4.49E-04
1.511029411|9.25E-04
2.22162162|0.00E+00
1.545112781|5.89E-05
1.489130435|1.19E-04
2.22162162|0.00E+00
1.539325843|8.04E-05
1.483754513|1.73E-04
1.550943397|8.88E-05
1.500000001|2.12E-04
2.209677419|0.00E+00
1.550943397|3.55E-05
1.489130435|7.65E-05
1.181102362|5.07E-03
0.847457627|1.32E-02
1.5625|2.89E-03
1.123595505|7.30E-03
0.843881856|1.30E-02
1.171875|1.28E-03
0.824175824|7.55E-03
0.632911392|1.45E-02
1.5625|2.42E-04
1.098901099|3.16E-03
0.836820084|8.84E-03
0.751879699|1.12E-02
1.388888889|1.08E-03
1.050420168|4.30E-03
0.87108014|7.63E-03
0.939849624|7.18E-03
1.092896175|9.29E-04
0.826446281|4.09E-03
0.701754386|9.60E-03
0.760456274|6.74E-03
1.366120219|2.20E-04
1.059322034|1.91E-03
0.862068966|5.90E-03
0.954198473|3.20E-03
1.19047619|2.32E-03
0.852272728|8.18E-03
0.641025641|1.51E-02
1.526717557|1.45E-03
1.098901099|4.19E-03
0.847457627|9.06E-03
0.743494424|1.29E-02
1.153846153|5.17E-04
0.833333333|3.12E-03
0.649350649|1.03E-02
0.588235294|1.36E-02
1.123595505|1.64E-03
0.854700854|5.91E-03
0.701754386|1.10E-02
0.775193798|8.10E-03
1.404494382|6.45E-04
1.068376069|3.07E-03
0.874125874|6.21E-03
0.961538462|5.13E-03
1.129943503|4.21E-04
0.873362445|3.07E-03
0.711743772|8.11E-03
0.790513834|5.58E-03
1.412429379|1.22E-04
1.072961374|1.47E-03
0.883392226|4.60E-03
0.9765625|2.36E-03
1.181102362|2.53E-03
0.837988827|8.44E-03
0.638297872|1.60E-02
1.587301587|1.20E-03
1.136363636|3.96E-03
0.854700854|9.12E-03
0.763358778|1.34E-02
1.209677419|4.86E-04
0.837988827|3.31E-03
0.649350649|8.35E-03
0.588235294|1.13E-02
1.123595505|1.71E-03
0.851063829|5.41E-03
0.706713781|9.31E-03
0.78125|6.61E-03
1.420454546|6.56E-04
1.068376069|2.61E-03
0.896057348|4.26E-03
0.961538462|4.35E-03
1.104972375|4.33E-04
0.843881856|2.31E-03
0.729927007|4.95E-03
0.787401575|3.27E-03
1.077586207|9.66E-04
0.877192983|3.25E-03
0.980392157|1.69E-03
1.181102362|1.03E-03
0.833333333|5.29E-03
0.622406639|1.18E-02
0.566037736|1.50E-02
1.176470588|1.40E-03
0.888888889|4.45E-03
0.727272727|8.66E-03
0.8|7.27E-03
1.181102362|1.12E-04
0.842696629|2.37E-03
0.660792952|6.40E-03
0.547445255|1.12E-02
0.6|8.63E-03
1.117318436|2.13E-04
