Test-ID|Average|Prototype|5.0%|95.0%|E
1|4.26e-03|4.26e-03|6.11e-04|2.71e-02|0.0787
2|1.86e-03|1.86e-03|2.46e-04|1.18e-02|0.0028
3|6.94e-04|6.94e-04|7.88e-05|5.13e-03|0.0008
4|2.43e-04|2.43e-04|3.17e-05|1.84e-03|0.0005
5|4.77e-03|4.77e-03|8.67e-04|2.44e-02|0.0516
6|2.25e-03|2.25e-03|5.23e-04|9.12e-03|0.0006
7|1.29e-03|1.29e-03|2.20e-04|6.94e-03|0.0005
8|3.70e-04|3.70e-04|6.65e-05|1.86e-03|0.0002
9|1.23e-04|1.23e-04|1.82e-05|8.16e-04|0.0003
10|3.78e-03|3.78e-03|1.01e-03|1.41e-02|0.0003
11|1.48e-03|1.48e-03|3.91e-04|5.40e-03|0.0002
12|5.34e-04|5.34e-04|1.17e-04|2.19e-03|0.0001
13|1.47e-04|1.47e-04|3.11e-05|6.72e-04|0.0001
14|6.10e-05|6.10e-05|1.23e-05|3.07e-04|0.0001
15|1.55e-03|1.55e-03|4.24e-04|5.36e-03|0.0001
16|7.05e-04|7.05e-04|1.66e-04|2.81e-03|0.0001
17|2.48e-04|2.48e-04|5.73e-05|1.09e-03|0.0001
18|9.16e-05|9.16e-05|1.97e-05|4.43e-04|0.0001
19|2.18e-03|2.18e-03|6.76e-04|7.51e-03|0.0002
20|9.55e-04|9.55e-04|2.62e-04|3.41e-03|0.0001
21|3.75e-04|3.75e-04|9.21e-05|1.58e-03|0.0001
22|1.33e-04|1.33e-04|3.12e-05|6.43e-04|0.0001
23|2.54e-03|2.54e-03|8.54e-04|8.31e-03|0.0001
24|1.31e-03|1.31e-03|3.81e-04|4.56e-03|0.0001
25|6.11e-04|6.11e-04|1.65e-04|2.39e-03|0.0001
26|2.23e-04|2.23e-04|5.59e-05|9.72e-04|0.0001
27|4.26e-03|4.26e-03|6.11e-04|2.71e-02|0.0787
28|1.86e-03|1.86e-03|2.46e-04|1.18e-02|0.0028
29|6.94e-04|6.94e-04|7.88e-05|5.13e-03|0.0008
30|2.43e-04|2.43e-04|3.17e-05|1.84e-03|0.0005
31|4.77e-03|4.77e-03|8.67e-04|2.44e-02|0.0516
32|2.25e-03|2.25e-03|5.23e-04|9.12e-03|0.0006
33|1.29e-03|1.29e-03|2.20e-04|6.94e-03|0.0005
34|3.70e-04|3.70e-04|6.65e-05|1.86e-03|0.0002
35|1.23e-04|1.23e-04|1.82e-05|8.16e-04|0.0003
36|3.78e-03|3.78e-03|1.01e-03|1.41e-02|0.0003
37|1.48e-03|1.48e-03|3.91e-04|5.40e-03|0.0002
38|5.34e-04|5.34e-04|1.17e-04|2.19e-03|0.0001
39|1.47e-04|1.47e-04|3.11e-05|6.72e-04|0.0001
40|6.10e-05|6.10e-05|1.23e-05|3.07e-04|0.0001
41|1.55e-03|1.55e-03|4.24e-04|5.36e-03|0.0001
42|7.05e-04|7.05e-04|1.66e-04|2.81e-03|0.0001
43|2.48e-04|2.48e-04|5.73e-05|1.09e-03|0.0001
44|9.16e-05|9.16e-05|1.97e-05|4.43e-04|0.0001
45|2.18e-03|2.18e-03|6.76e-04|7.51e-03|0.0002
46|9.55e-04|9.55e-04|2.62e-04|3.41e-03|0.0001
47|3.75e-04|3.75e-04|9.21e-05|1.58e-03|0.0001
48|1.33e-04|1.33e-04|3.12e-05|6.43e-04|0.0001
49|2.54e-03|2.54e-03|8.54e-04|8.31e-03|0.0001
50|1.31e-03|1.31e-03|3.81e-04|4.56e-03|0.0001
51|6.11e-04|6.11e-04|1.65e-04|2.39e-03|0.0001
52|2.23e-04|2.23e-04|5.59e-05|9.72e-04|0.0001
53|4.72e-03|4.72e-03|6.68e-04|3.04e-02|0.1135
54|2.12e-03|2.12e-03|2.95e-04|1.33e-02|0.0115
55|8.12e-04|8.12e-04|9.59e-05|5.78e-03|0.0008
56|2.88e-04|2.88e-04|3.73e-05|1.98e-03|0.0005
57|5.25e-03|5.25e-03|9.63e-04|2.77e-02|0.0779
58|2.54e-03|2.54e-03|5.94e-04|1.08e-02|0.0025
59|1.48e-03|1.48e-03|2.59e-04|7.78e-03|0.0005
60|4.32e-04|4.32e-04|7.98e-05|2.05e-03|0.0002
61|1.44e-04|1.44e-04|2.33e-05|9.32e-04|0.0003
62|4.16e-03|4.16e-03|1.09e-03|1.56e-02|0.0003
63|1.67e-03|1.67e-03|4.61e-04|6.07e-03|0.0002
64|6.16e-04|6.16e-04|1.39e-04|2.50e-03|0.0001
65|1.72e-04|1.72e-04|3.73e-05|7.68e-04|0.0001
66|6.98e-05|6.98e-05|1.61e-05|3.42e-04|0.0001
67|1.74e-03|1.74e-03|5.06e-04|6.07e-03|0.0001
68|8.05e-04|8.05e-04|1.96e-04|3.00e-03|0.0001
69|2.86e-04|2.86e-04|6.74e-05|1.20e-03|0.0001
70|1.05e-04|1.05e-04|2.28e-05|4.94e-04|0.0001
71|2.42e-03|2.42e-03|7.56e-04|8.21e-03|0.0002
72|1.08e-03|1.08e-03|2.94e-04|3.64e-03|0.0001
73|4.29e-04|4.29e-04|1.07e-04|1.75e-03|0.0001
74|1.52e-04|1.52e-04|3.54e-05|6.98e-04|0.0001
75|2.80e-03|2.80e-03|9.35e-04|8.86e-03|0.0001
76|1.45e-03|1.45e-03|4.49e-04|5.00e-03|0.0001
77|6.85e-04|6.85e-04|1.89e-04|2.64e-03|0.0001
78|2.52e-04|2.52e-04|6.39e-05|1.09e-03|0.0001
79|7.38e-03|7.38e-03|8.83e-04|5.82e-02|0.2529
80|3.76e-03|3.76e-03|5.16e-04|2.41e-02|0.0758
81|1.66e-03|1.66e-03|2.04e-04|1.18e-02|0.0023
82|6.47e-04|6.47e-04|8.35e-05|4.17e-03|0.0006
83|8.03e-03|8.03e-03|1.30e-03|5.09e-02|0.1947
84|4.25e-03|4.25e-03|8.84e-04|2.02e-02|0.0387
85|2.68e-03|2.68e-03|4.57e-04|1.45e-02|0.0007
86|8.93e-04|8.93e-04|1.79e-04|4.30e-03|0.0003
87|3.17e-04|3.17e-04|4.73e-05|1.96e-03|0.0003
88|6.37e-03|6.37e-03|1.59e-03|2.52e-02|0.0229
89|2.87e-03|2.87e-03|7.48e-04|1.15e-02|0.0002
